timestamp,engagement_rate,content_type,is_sponsored,sentiment_score
2024-01-01 00:00:00,1.098,behind_scenes,False,0.535
2024-01-01 01:00:00,1.184,daily_life,False,0.934
2024-01-01 02:00:00,1.14,behind_scenes,False,0.854
2024-01-01 03:00:00,1.152,review,True,0.525
2024-01-01 04:00:00,1.175,product_showcase,True,0.928
2024-01-01 05:00:00,1.193,product_showcase,False,0.489
2024-01-01 06:00:00,1.149,daily_life,True,1.0
2024-01-01 07:00:00,1.176,behind_scenes,True,0.815
2024-01-01 08:00:00,1.225,daily_life,False,0.739
2024-01-01 09:00:00,1.192,daily_life,True,0.534
2024-01-01 10:00:00,1.225,behind_scenes,False,0.685
2024-01-01 11:00:00,1.249,cute_moment,False,0.952
2024-01-01 12:00:00,1.169,behind_scenes,False,0.634
2024-01-01 13:00:00,1.557,daily_life,False,0.689
2024-01-01 14:00:00,1.45,cute_moment,True,0.586
2024-01-01 15:00:00,1.286,daily_life,False,0.775
2024-01-01 16:00:00,1.433,daily_life,False,0.42
2024-01-01 17:00:00,1.197,daily_life,False,0.921
2024-01-01 18:00:00,,product_showcase,True,0.567
2024-01-01 19:00:00,1.313,behind_scenes,True,0.712
2024-01-01 20:00:00,1.186,review,False,0.803
2024-01-01 21:00:00,1.229,product_showcase,False,0.991
2024-01-01 22:00:00,1.083,behind_scenes,True,0.834
2024-01-01 23:00:00,1.253,product_showcase,True,0.449
2024-01-02 00:00:00,1.252,behind_scenes,True,0.927
2024-01-02 01:00:00,1.194,cute_moment,False,0.083
2024-01-02 02:00:00,1.311,review,True,0.629
2024-01-02 03:00:00,1.16,cute_moment,True,0.674
2024-01-02 04:00:00,1.206,cute_moment,False,0.468
2024-01-02 05:00:00,1.141,behind_scenes,True,0.397
2024-01-02 06:00:00,1.193,daily_life,True,0.876
2024-01-02 07:00:00,1.171,daily_life,False,0.536
2024-01-02 08:00:00,1.161,daily_life,False,0.531
2024-01-02 09:00:00,1.282,daily_life,False,0.668
2024-01-02 10:00:00,1.132,review,True,0.565
2024-01-02 11:00:00,1.28,cute_moment,True,0.679
2024-01-02 12:00:00,1.192,product_showcase,True,1.0
2024-01-02 13:00:00,1.486,review,True,0.639
2024-01-02 14:00:00,1.488,behind_scenes,False,0.641
2024-01-02 15:00:00,,review,True,0.98
2024-01-02 16:00:00,1.133,review,True,0.691
2024-01-02 17:00:00,1.319,behind_scenes,True,0.86
2024-01-02 18:00:00,1.216,product_showcase,False,0.714
2024-01-02 19:00:00,,cute_moment,False,0.535
2024-01-02 20:00:00,1.491,review,True,0.391
2024-01-02 21:00:00,1.196,behind_scenes,True,0.695
2024-01-02 22:00:00,1.178,behind_scenes,False,0.772
2024-01-02 23:00:00,1.105,product_showcase,False,0.892
2024-01-03 00:00:00,1.249,review,False,0.648
2024-01-03 01:00:00,1.329,behind_scenes,False,0.869
2024-01-03 02:00:00,1.157,product_showcase,False,0.599
2024-01-03 03:00:00,1.189,product_showcase,False,0.519
2024-01-03 04:00:00,1.24,behind_scenes,False,0.666
2024-01-03 05:00:00,1.134,behind_scenes,False,0.794
2024-01-03 06:00:00,1.137,review,False,0.806
2024-01-03 07:00:00,1.159,review,False,0.956
2024-01-03 08:00:00,1.236,cute_moment,True,0.775
2024-01-03 09:00:00,1.221,behind_scenes,False,1.0
2024-01-03 10:00:00,1.19,daily_life,False,0.904
2024-01-03 11:00:00,1.185,daily_life,True,0.36
2024-01-03 12:00:00,1.25,cute_moment,False,0.901
2024-01-03 13:00:00,1.291,behind_scenes,False,0.917
2024-01-03 14:00:00,,product_showcase,True,0.796
2024-01-03 15:00:00,1.489,daily_life,True,0.769
2024-01-03 16:00:00,1.087,review,False,0.735
2024-01-03 17:00:00,1.102,daily_life,True,0.475
2024-01-03 18:00:00,1.244,behind_scenes,True,0.397
2024-01-03 19:00:00,1.197,daily_life,True,0.522
2024-01-03 20:00:00,1.176,cute_moment,True,1.0
2024-01-03 21:00:00,1.234,review,False,0.959
2024-01-03 22:00:00,1.187,cute_moment,True,0.751
2024-01-03 23:00:00,1.099,product_showcase,True,0.725
2024-01-04 00:00:00,1.154,product_showcase,True,0.953
2024-01-04 01:00:00,1.107,product_showcase,True,0.702
2024-01-04 02:00:00,1.429,product_showcase,False,1.0
2024-01-04 03:00:00,1.134,behind_scenes,True,0.691
2024-01-04 04:00:00,1.128,behind_scenes,True,0.781
2024-01-04 05:00:00,1.29,behind_scenes,False,0.48
2024-01-04 06:00:00,1.165,cute_moment,True,0.491
2024-01-04 07:00:00,1.331,cute_moment,True,0.796
2024-01-04 08:00:00,1.167,daily_life,False,0.875
2024-01-04 09:00:00,1.176,review,False,0.513
2024-01-04 10:00:00,1.07,cute_moment,True,0.989
2024-01-04 11:00:00,1.212,daily_life,False,0.929
2024-01-04 12:00:00,1.242,product_showcase,True,0.356
2024-01-04 13:00:00,1.26,product_showcase,False,0.95
2024-01-04 14:00:00,1.103,cute_moment,True,0.687
2024-01-04 15:00:00,1.159,behind_scenes,False,0.617
2024-01-04 16:00:00,1.249,daily_life,False,0.578
2024-01-04 17:00:00,1.179,review,True,0.756
2024-01-04 18:00:00,1.215,daily_life,True,0.581
2024-01-04 19:00:00,1.161,behind_scenes,True,1.0
2024-01-04 20:00:00,1.16,behind_scenes,True,0.588
2024-01-04 21:00:00,1.197,cute_moment,True,1.0
2024-01-04 22:00:00,1.242,behind_scenes,True,0.799
2024-01-04 23:00:00,1.361,behind_scenes,True,0.795
2024-01-05 00:00:00,1.173,review,False,0.893
2024-01-05 01:00:00,1.24,behind_scenes,False,0.69
2024-01-05 02:00:00,1.143,product_showcase,True,0.821
